Task,Name,EER
grabbing,P04,0.1053
grabbing,P05,0.0
grabbing,P06,0.0386
grabbing,P10,0.0158
grabbing,P15,0.0509
grabbing,P01,0.2544
grabbing,P14,0.0684
grabbing,P08,0.0
grabbing,P11,0.0
grabbing,P16,0.2965
grabbing,P02,0.0912
grabbing,P09,0.0474
grabbing,P07,0.0
grabbing,P12,0.2246
grabbing,P17,0.186
grabbing,P03,0.0684
grabbing,P18,0.1491
grabbing,P13,0.1421
grabbing,P19,0.0877
grabbing,P20,0.0
pointing,P04,0.0351
pointing,P05,0.0
pointing,P06,0.0789
pointing,P10,0.0
pointing,P15,0.1491
pointing,P01,0.0526
pointing,P14,0.1018
pointing,P08,0.1035
pointing,P11,0.3158
pointing,P16,0.0316
pointing,P02,0.1614
pointing,P09,0.1053
pointing,P07,0.0825
pointing,P12,0.0368
pointing,P17,0.1491
pointing,P03,0.0211
pointing,P18,0.0158
pointing,P13,0.414
pointing,P19,0.0439
pointing,P20,0.0
typing,P04,0.0132
typing,P05,0.2947
typing,P06,0.0526
typing,P10,0.0
typing,P15,0.2816
typing,P01,0.0
typing,P14,0.0
typing,P08,0.0
typing,P11,0.1921
typing,P16,0.0079
typing,P02,0.15
typing,P09,0.0553
typing,P07,0.0026
typing,P12,0.1026
typing,P17,0.0684
typing,P03,0.0
typing,P18,0.0105
typing,P13,0.0
typing,P19,0.0
typing,P20,0.0
